sort,UniqueID,SurveyDate,Time,Visit,Observer,SurveyType,NoiseLevel,SPECIES,Count,TimeInterval,DISTANCE,FID,Strata,Plot,Station,Latitude,Longitude,Join_Count,YearLoss,Class_Name,ModisLCC,FIRENAME,YEAR,Disturbance,PKEY,PKEYm,Noise,JULIAN,JDAY,srise,start_time,TSSR,Interval,SS,RandomSel
69,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,ARU,Light,RCKI,1,9-10 min,ARU,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_A,1,172,0.471232877,4.216218729,7.75,0.147240886,5-10 min,5.041,1
70,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,ARU,Light,FOSP,1,0-1 min,ARU,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_A,1,172,0.471232877,4.216218729,7.75,0.147240886,0-3 min,5.041,1
71,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,ARU,Light,HETH,1,5-6 min,ARU,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_A,1,172,0.471232877,4.216218729,7.75,0.147240886,5-10 min,5.041,1
72,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,ARU,Light,RESQ,2,2-3 min,ARU,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_A,1,172,0.471232877,4.216218729,7.75,0.147240886,0-3 min,5.041,1
73,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,ARU,Light,AMRO,1,6-7 min,ARU,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_A,1,172,0.471232877,4.216218729,7.75,0.147240886,5-10 min,5.041,1
74,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,ARU,Light,SWTH,1,0-1 min,ARU,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_A,1,172,0.471232877,4.216218729,7.75,0.147240886,0-3 min,5.041,1
75,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,ARU,Light,MYWA,1,0-1 min,ARU,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_A,1,172,0.471232877,4.216218729,7.75,0.147240886,0-3 min,5.041,1
76,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,ARU,Light,RESQ,1,1-2 min,ARU,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_A,1,172,0.471232877,4.216218729,7.75,0.147240886,0-3 min,5.041,1
77,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,ARU,Light,MYWA,1,1-2 min,ARU,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_A,1,172,0.471232877,4.216218729,7.75,0.147240886,0-3 min,5.041,1
78,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,HUM,Light,MYWA,1,5-6 min,>100 m,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_H,1,172,0.471232877,4.216218729,7.75,0.147240886,5-10 min,5.041,1
79,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,HUM,Light,HETH,1,5-6 min,>100 m,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_H,1,172,0.471232877,4.216218729,7.75,0.147240886,5-10 min,5.041,1
80,05-041-06,22-Jun-15,7:45:00 AM,1,CMC,HUM,Light,MYWA,1,0-1 min,0-49 m,49,5,41,6,58.13250835,-109.414781,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-06_1,05-041-06_1_H,1,172,0.471232877,4.216218729,7.75,0.147240886,0-3 min,5.041,1
